text,hinderStomper,completed,priority,project,recurring,createdAt,completedAt
septhrep,True,True,high,personal,True,2025-04-06 08:52:05.045171509,1743963315294150709
Test mail,True,True,medium,work,False,2025-03-30 06:50:12.898705339,1743524995178289739
imp work,True,False,high,work,False,2025-03-13 15:44:33.126497406,
cricket match,True,True,low,personal,True,2025-03-20 14:02:16.397855580,1742730331426492380
task check,True,True,medium,work,False,2025-04-04 19:12:15.838064237,1743922381096804637
doctor appointment,False,False,high,personal,False,2025-04-02 08:14:03.949313652,
Compiler Design Assignment,False,False,medium,school,False,2025-03-20 22:01:39.645352225,
submit project,True,True,high,school,False,2025-04-18 09:24:38.506856222,1745003970845063822
add new report,True,False,low,work,False,2025-03-28 09:06:11.569806889,
My appointment,False,False,medium,personal,True,2025-04-01 08:16:41.041942779,
Test mail,True,True,high,work,False,2025-03-16 14:05:48.455855411,1742330357213101811
new task,True,True,low,work,False,2025-04-27 18:04:50.624085390,1745799265518518190
dentist appointment,True,False,high,personal,True,2025-04-11 01:24:57.687388648,
Sample todo task,False,False,low,personal,False,2025-03-10 01:53:27.286481757,
imp resume,True,True,high,personal,False,2025-04-18 09:35:13.420835155,1745202768069506755
work2,False,False,medium,work,False,2025-04-04 06:04:58.060270376,
septhrep,True,True,high,personal,False,2025-04-18 07:07:20.806849842,1745044981572150642
project review,False,False,medium,work,False,2025-04-21 16:48:46.960682187,
prj3,False,False,low,work,True,2025-04-07 18:31:28.124551059,
septhrep new,True,True,high,personal,False,2025-04-25 17:44:43.235631107,1745725322631239507
prj1,False,False,medium,work,True,2025-04-12 08:18:34.976553945,
prj2,False,False,low,work,True,2025-03-18 09:24:49.944285482,
project work today?,True,True,high,work,False,2025-04-10 03:54:21.014768597,1744507433058205397
one task add,False,False,medium,personal,True,2025-04-23 19:09:54.188565291,
task11,True,True,high,work,False,2025-03-22 20:21:06.176453337,1742872872142096137
Work1,False,False,low,work,True,2025-03-12 01:08:53.899862197,
extra class,True,True,high,school,False,2025-03-20 14:14:30.601577787,1742563240572947787
task1,True,True,medium,work,False,2025-04-23 14:36:40.023850896,1745559876064530096
work,True,True,high,work,False,2025-03-17 08:40:03.584337301,1742451726324538501
task1,True,True,low,work,False,2025-04-25 02:28:28.689354506,1745582147122186106
work1,False,False,medium,work,True,2025-03-30 23:50:15.045180148,
cricket match,True,True,high,personal,False,2025-03-19 01:43:59.704707598,1742378110182952798
test task,False,False,low,personal,True,2025-04-04 08:47:26.625565367,
Work1,False,False,medium,work,True,2025-04-28 20:54:46.792017228,
class2,True,False,high,school,False,2025-04-22 08:09:39.928677864,
dentist appointment,True,False,low,personal,True,2025-03-24 00:03:45.650375097,
